,college,dateOfBirth,firstName,height,highSchool,hometown,instagramHandle,lastName,playerId,position,team,twitterHandle,weight,stats
000225,Princeton,1992-02-24T00:00:00.000Z,Tom,5’11,St. Anthony's High School,"East Meadow, NY",tom_schreiber26,Schreiber,000225,Midfield,Archers,TomSchreiber26,205,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000225', 'TeamId': 'ARC', 'Jersey': '26', 'FirstName': 'Tom', 'LastName': 'Schreiber', 'Position': 'M', 'GamesPlayed': '10', 'Goals': '17', 'Assists': '18', 'Points': '37', 'TwoPointers': '2', 'Shots': '59', 'ShotsOnGoal': '29', 'ShotPercentage': '28.8', 'GroundBalls': '9', 'Turnovers': '22', 'CauseTurnovers': '1', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 7, 'TwoPointGoals': 2, 'OnePointShots': 52, 'OnePointGoals': 15, 'OnePointShotPercentage': '28.8', 'TwoPointShotPercentage': '28.5', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000226,Ohio State,1990-08-20T00:00:00.000Z,Tyler,6’2,Upper Arlington,"Garden City, NY",Tyler.Pfister,Pfister,000226,Midfield,Archers,Tyler_Pfister,195,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000226', 'TeamId': 'ARC', 'Jersey': '5', 'FirstName': 'Tyler', 'LastName': 'Pfister', 'Position': 'Midfield', 'GamesPlayed': '8', 'Goals': '0', 'Assists': '2', 'Points': '2', 'TwoPointers': '0', 'Shots': '6', 'ShotsOnGoal': '3', 'ShotPercentage': '0.0', 'GroundBalls': '4', 'Turnovers': '2', 'CauseTurnovers': '1', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 1, 'TwoPointGoals': 0, 'OnePointShots': 5, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000227,UMass,1991-09-11T00:00:00.000Z,Will,5’9,St. Anthony's,"Massapequa, NY",willmanny1,Manny,000227,Attack,Archers,willmanny_1,170,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000227', 'TeamId': 'ARC', 'Jersey': '4', 'FirstName': 'Will', 'LastName': 'Manny', 'Position': 'A', 'GamesPlayed': '10', 'Goals': '22', 'Assists': '7', 'Points': '30', 'TwoPointers': '1', 'Shots': '74', 'ShotsOnGoal': '50', 'ShotPercentage': '29.7', 'GroundBalls': '7', 'Turnovers': '20', 'CauseTurnovers': '1', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 2, 'TwoPointGoals': 1, 'OnePointShots': 72, 'OnePointGoals': 21, 'OnePointShotPercentage': '29.1', 'TwoPointShotPercentage': '50.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000228,Towson,1992-03-27T00:00:00.000Z,Andrew,5’10,West Islip High school,"West Islip, NY",Hodge_11,Hodgson,000228,Midfield,Atlas,A_Hodge11,175,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000228', 'TeamId': 'ATL', 'Jersey': '11', 'FirstName': 'Andrew', 'LastName': 'Hodgson', 'Position': 'M', 'GamesPlayed': '2', 'Goals': '1', 'Assists': '0', 'Points': '1', 'TwoPointers': '0', 'Shots': '3', 'ShotsOnGoal': '2', 'ShotPercentage': '33.3', 'GroundBalls': '4', 'Turnovers': '2', 'CauseTurnovers': '2', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 2, 'TwoPointGoals': 0, 'OnePointShots': 1, 'OnePointGoals': 1, 'OnePointShotPercentage': '100.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000229,UNC Chapel Hill,1994-05-17T00:00:00.000Z,Austin,6’2,Abington HS,"Roslyn, PA",austin_pifani,Pifani,000229,Defense,Atlas,Austin_Pifani,205,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000229', 'TeamId': 'ATL', 'Jersey': '17', 'FirstName': 'Austin', 'LastName': 'Pifani', 'Position': 'D', 'GamesPlayed': '10', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '2', 'ShotsOnGoal': '1', 'ShotPercentage': '0.0', 'GroundBalls': '11', 'Turnovers': '2', 'CauseTurnovers': '3', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 2, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000376,,,Cade,,,,,Van Raaphorst,000376,Defense,Atlas,,,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000376', 'TeamId': 'ATL', 'Jersey': '77', 'FirstName': 'Cade', 'LastName': 'Van Raaphorst', 'Position': 'LSM', 'GamesPlayed': '9', 'Goals': '3', 'Assists': '1', 'Points': '6', 'TwoPointers': '2', 'Shots': '9', 'ShotsOnGoal': '4', 'ShotPercentage': '33.3', 'GroundBalls': '17', 'Turnovers': '2', 'CauseTurnovers': '8', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 6, 'TwoPointGoals': 2, 'OnePointShots': 3, 'OnePointGoals': 1, 'OnePointShotPercentage': '33.3', 'TwoPointShotPercentage': '33.3', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000230,Stevenson,1991-05-01T00:00:00.000Z,Callum,6’4,Sacred Heart College,"Perth, Australia",callum10robinson,Robinson,000230,Defense,Atlas,cal10rob,242,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000230', 'TeamId': 'ATL', 'Jersey': '10', 'FirstName': 'Callum', 'LastName': 'Robinson', 'Position': 'D', 'GamesPlayed': '8', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '0', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '10', 'Turnovers': '4', 'CauseTurnovers': '2', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 0, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000231,North Carolina,1995-12-04T00:00:00.000Z,Chris,5’11,The Hill Academy,"Kitchener, Ontario, Canada",chriscloutier45,Cloutier,000231,Attack,Atlas,,220,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000231', 'TeamId': 'ATL', 'Jersey': '45', 'FirstName': 'Chris', 'LastName': 'Cloutier', 'Position': 'A', 'GamesPlayed': '7', 'Goals': '9', 'Assists': '5', 'Points': '14', 'TwoPointers': '0', 'Shots': '27', 'ShotsOnGoal': '17', 'ShotPercentage': '33.3', 'GroundBalls': '10', 'Turnovers': '10', 'CauseTurnovers': '1', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 27, 'OnePointGoals': 9, 'OnePointShotPercentage': '33.3', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000232,Rutgers,1988-05-12T00:00:00.000Z,Chris,6’3,Westfield High School,"Westfield, NJ",CJMATTES65,Mattes,000232,Faceoff,Atlas,,205,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000232', 'TeamId': 'ATL', 'Jersey': '', 'FirstName': 'Chris', 'LastName': 'Mattes', 'Position': 'Faceoff', 'GamesPlayed': '0', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '0', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '0', 'Turnovers': '0', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 0, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000233,Cornell,1993-06-14T00:00:00.000Z,Connor,6’2,St. Xavier High School,,cbuczek33,Buczek,000233,Midfield,Atlas,cbucz33,215,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000233', 'TeamId': 'ATL', 'Jersey': '33', 'FirstName': 'Connor', 'LastName': 'Buczek', 'Position': 'M', 'GamesPlayed': '10', 'Goals': '16', 'Assists': '4', 'Points': '22', 'TwoPointers': '2', 'Shots': '64', 'ShotsOnGoal': '42', 'ShotPercentage': '25.0', 'GroundBalls': '6', 'Turnovers': '13', 'CauseTurnovers': '2', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 14, 'TwoPointGoals': 2, 'OnePointShots': 50, 'OnePointGoals': 14, 'OnePointShotPercentage': '28.0', 'TwoPointShotPercentage': '14.2', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000234,Denver,1991-04-19T00:00:00.000Z,Eric,5’11,Arapahoe High School,"Centennial, CO",elaw_15,Law,000234,Attack,Atlas,elaw_15,180,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000234', 'TeamId': 'ATL', 'Jersey': '15', 'FirstName': 'Eric', 'LastName': 'Law', 'Position': 'A', 'GamesPlayed': '10', 'Goals': '20', 'Assists': '10', 'Points': '30', 'TwoPointers': '0', 'Shots': '34', 'ShotsOnGoal': '29', 'ShotPercentage': '58.8', 'GroundBalls': '14', 'Turnovers': '8', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 34, 'OnePointGoals': 20, 'OnePointShotPercentage': '58.8', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000241,Hofstra,1996-01-20T00:00:00.000Z,Jack,6’3,St. Anthony’s High School,"Lindenhurst, NY",_jconcannon_,Concannon,000241,Goalie,Atlas,_JConcannon_,210,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000241', 'TeamId': 'ATL', 'Jersey': '12', 'FirstName': 'Jack', 'LastName': 'Concannon', 'Position': 'G', 'GamesPlayed': '10', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '0', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '12', 'Turnovers': '3', 'CauseTurnovers': '1', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '138', 'SavePercentage': '53.4', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 0, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 129, 'GAA': '13.0'}]"
000235,Marquette,1993-09-17T00:00:00.000Z,Jake,5’11,West Chester Henderson,"West Chester, PA",jake_richard27,Richard,000235,Midfield,Atlas,JakeRichard27,190,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000235', 'TeamId': 'ATL', 'Jersey': '27', 'FirstName': 'Jake', 'LastName': 'Richard', 'Position': 'M', 'GamesPlayed': '10', 'Goals': '1', 'Assists': '2', 'Points': '3', 'TwoPointers': '0', 'Shots': '3', 'ShotsOnGoal': '2', 'ShotPercentage': '33.3', 'GroundBalls': '16', 'Turnovers': '3', 'CauseTurnovers': '4', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 1, 'TwoPointGoals': 0, 'OnePointShots': 2, 'OnePointGoals': 1, 'OnePointShotPercentage': '50.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000236,Virginia,1994-07-18T00:00:00.000Z,James,5’9,Smithtown West,"Smithtown, NY",jamespannell32,Pannell,000236,Attack,Atlas,JamesCPannell32,195,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000236', 'TeamId': 'ATL', 'Jersey': '32', 'FirstName': 'James', 'LastName': 'Pannell', 'Position': 'Attack', 'GamesPlayed': '2', 'Goals': '1', 'Assists': '0', 'Points': '1', 'TwoPointers': '0', 'Shots': '4', 'ShotsOnGoal': '3', 'ShotPercentage': '25.0', 'GroundBalls': '0', 'Turnovers': '0', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 4, 'OnePointGoals': 1, 'OnePointShotPercentage': '25.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000237,Johns Hopkins,1995-06-12T00:00:00.000Z,Joel,5’9,Culver Military Academy,"Cambridge, Ontario, Canada",JTINO2121,Tinney,000237,Midfield,Atlas,5TINMAN21,165,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000237', 'TeamId': 'ATL', 'Jersey': '55', 'FirstName': 'Joel', 'LastName': 'Tinney', 'Position': 'M', 'GamesPlayed': '10', 'Goals': '6', 'Assists': '8', 'Points': '14', 'TwoPointers': '0', 'Shots': '23', 'ShotsOnGoal': '17', 'ShotPercentage': '26.0', 'GroundBalls': '8', 'Turnovers': '6', 'CauseTurnovers': '2', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 23, 'OnePointGoals': 6, 'OnePointShotPercentage': '26.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000238,Johns Hopkins,1995-01-05T00:00:00.000Z,John,6’0,Schreiber High School,"Port Washington, NY",Jcrawley44,Crawley,000238,Midfield,Atlas,Jcrawley44,210,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000238', 'TeamId': 'ATL', 'Jersey': '14', 'FirstName': 'John', 'LastName': 'Crawley', 'Position': 'Midfield', 'GamesPlayed': '7', 'Goals': '5', 'Assists': '3', 'Points': '8', 'TwoPointers': '0', 'Shots': '17', 'ShotsOnGoal': '10', 'ShotPercentage': '29.4', 'GroundBalls': '2', 'Turnovers': '3', 'CauseTurnovers': '1', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 1, 'TwoPointGoals': 0, 'OnePointShots': 16, 'OnePointGoals': 5, 'OnePointShotPercentage': '31.2', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000239,Hofstra,1986-06-05T00:00:00.000Z,Kevin,5’11,Shoreham Wading River,"Shoreham, NY",,Unterstein,000239,Midfield,Atlas,,190,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000239', 'TeamId': 'ATL', 'Jersey': '13', 'FirstName': 'Kevin', 'LastName': 'Unterstein', 'Position': 'M', 'GamesPlayed': '10', 'Goals': '3', 'Assists': '2', 'Points': '5', 'TwoPointers': '0', 'Shots': '8', 'ShotsOnGoal': '3', 'ShotPercentage': '37.5', 'GroundBalls': '23', 'Turnovers': '3', 'CauseTurnovers': '3', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 8, 'OnePointGoals': 3, 'OnePointShotPercentage': '37.5', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000240,St. John's,1992-05-30T00:00:00.000Z,Kieran,6’2,Connetquot,"Ronkonkoma, NY",Kieranmcardle6,McArdle,000240,Attack,Atlas,Kieranmcardle6,185,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000240', 'TeamId': 'ATL', 'Jersey': '6', 'FirstName': 'Kieran', 'LastName': 'McArdle', 'Position': 'A', 'GamesPlayed': '10', 'Goals': '12', 'Assists': '13', 'Points': '25', 'TwoPointers': '0', 'Shots': '43', 'ShotsOnGoal': '31', 'ShotPercentage': '27.9', 'GroundBalls': '5', 'Turnovers': '18', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 1, 'TwoPointGoals': 0, 'OnePointShots': 42, 'OnePointGoals': 12, 'OnePointShotPercentage': '28.5', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000242,Salisbury,1985-10-09T00:00:00.000Z,Kyle,6’1,Archbishop Curley,"Dundalk, MD",khartzell81,Hartzell,000242,Defense,Atlas,khartzell81,195,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000242', 'TeamId': 'ATL', 'Jersey': '81', 'FirstName': 'Kyle', 'LastName': 'Hartzell', 'Position': 'LSM', 'GamesPlayed': '10', 'Goals': '2', 'Assists': '6', 'Points': '8', 'TwoPointers': '0', 'Shots': '14', 'ShotsOnGoal': '7', 'ShotPercentage': '14.2', 'GroundBalls': '16', 'Turnovers': '7', 'CauseTurnovers': '6', 'FaceoffsWon': '1', 'Faceoffs': '2', 'FaceoffsPercentage': '50.0', 'FaceoffsWon_Lost': '1-1', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 9, 'TwoPointGoals': 0, 'OnePointShots': 5, 'OnePointGoals': 2, 'OnePointShotPercentage': '40.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000375,,,Noah,,,,,Richard,000375,Defense,Atlas,,,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000375', 'TeamId': 'ATL', 'Jersey': '25', 'FirstName': 'Noah', 'LastName': 'Richard', 'Position': 'LSM', 'GamesPlayed': '9', 'Goals': '3', 'Assists': '0', 'Points': '4', 'TwoPointers': '1', 'Shots': '3', 'ShotsOnGoal': '3', 'ShotPercentage': '100.0', 'GroundBalls': '23', 'Turnovers': '0', 'CauseTurnovers': '4', 'FaceoffsWon': '2', 'Faceoffs': '8', 'FaceoffsPercentage': '25.0', 'FaceoffsWon_Lost': '2-6', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 1, 'TwoPointGoals': 1, 'OnePointShots': 2, 'OnePointGoals': 2, 'OnePointShotPercentage': '100.0', 'TwoPointShotPercentage': '100.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000244,Maryland,1993-10-05T00:00:00.000Z,Pat,6’1,Christchurch School,"Trenton, NJ",Patyoung44,Young,000244,Midfield,Atlas,Patyoung44,220,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000244', 'TeamId': 'ATL', 'Jersey': '2', 'FirstName': 'Pat', 'LastName': 'Young', 'Position': 'M', 'GamesPlayed': '1', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '1', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '0', 'Turnovers': '0', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 1, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000245,Johns Hopkins,1985-12-14T00:00:00.000Z,Paul,6’3,DeMatha High School,"Montgomery Village, MD",PaulRabil,Rabil,000245,Midfield,Atlas,PaulRabil,220,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000245', 'TeamId': 'ATL', 'Jersey': '99', 'FirstName': 'Paul', 'LastName': 'Rabil', 'Position': 'M', 'GamesPlayed': '10', 'Goals': '11', 'Assists': '11', 'Points': '23', 'TwoPointers': '1', 'Shots': '47', 'ShotsOnGoal': '27', 'ShotPercentage': '23.4', 'GroundBalls': '8', 'Turnovers': '17', 'CauseTurnovers': '2', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 9, 'TwoPointGoals': 1, 'OnePointShots': 38, 'OnePointGoals': 10, 'OnePointShotPercentage': '26.3', 'TwoPointShotPercentage': '11.1', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000246,Johns Hopkins,1994-04-06T00:00:00.000Z,Ryan,5’10,Calvert Hall,"Sykesville, MD",Rbrownie4,Brown,000246,Attack,Atlas,Rbrownie04,180,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000246', 'TeamId': 'ATL', 'Jersey': '4', 'FirstName': 'Ryan', 'LastName': 'Brown', 'Position': 'A', 'GamesPlayed': '10', 'Goals': '21', 'Assists': '3', 'Points': '25', 'TwoPointers': '1', 'Shots': '81', 'ShotsOnGoal': '46', 'ShotPercentage': '25.9', 'GroundBalls': '8', 'Turnovers': '10', 'CauseTurnovers': '2', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 14, 'TwoPointGoals': 1, 'OnePointShots': 67, 'OnePointGoals': 20, 'OnePointShotPercentage': '29.8', 'TwoPointShotPercentage': '7.1', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000363,Virginia,,Ryan,6'0,Loyola Blakefield,"Timonium, MD",,Conrad,000363,Midfield,Atlas,,190,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000363', 'TeamId': 'ATL', 'Jersey': '22', 'FirstName': 'Ryan', 'LastName': 'Conrad', 'Position': 'M', 'GamesPlayed': '4', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '3', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '8', 'Turnovers': '4', 'CauseTurnovers': '2', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 3, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000248,Notre Dame,1987-02-17T00:00:00.000Z,Scott,6’4,MacArthur,"Wantagh, NY",scottyrodg42,Rodgers,000248,Goalie,Atlas,ScottyRodg42,270,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000248', 'TeamId': 'ATL', 'Jersey': '42', 'FirstName': 'Scott', 'LastName': 'Rodgers', 'Position': 'Goalie', 'GamesPlayed': '2', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '0', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '0', 'Turnovers': '0', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '2', 'SavePercentage': '50.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 0, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 3, 'GAA': '48.0'}]"
000249,Johns Hopkins,,Shack,6’2,Boys' Latin,"Baltimore, MD",shacktus9,Stanwick,000249,Attack,Atlas,,185,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000249', 'TeamId': 'ATL', 'Jersey': '', 'FirstName': 'Shack', 'LastName': 'Stanwick', 'Position': 'Attack', 'GamesPlayed': '0', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '0', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '0', 'Turnovers': '0', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 0, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000251,Hofstra,1989-06-24T00:00:00.000Z,Steven,5’9,Hewlett High School,"Hewlett, NY",stevedenap,DeNapoli,000251,Midfield,Atlas,stevedenap7,175,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000251', 'TeamId': 'ATL', 'Jersey': '7', 'FirstName': 'Steven', 'LastName': 'DeNapoli', 'Position': 'Midfield', 'GamesPlayed': '7', 'Goals': '0', 'Assists': '2', 'Points': '2', 'TwoPointers': '0', 'Shots': '1', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '6', 'Turnovers': '1', 'CauseTurnovers': '1', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 1, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
